"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"United States","USA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.53749","14.45723","","14.19857","","","","","","","",
"United States","USA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","94.4899978637695","","","","","","","","","","96.4300003051758","","","","","","","","","","","","","","","99.463065204023","99.4478204839605","99.4800265535177","99.4993114858166","99.5353595251364","99.5257372370619","99.5152850725555","99.5295007474777","99.5328355020932","98.5599975585938","98.4199981689453","98.5400009155273","99.5861634340353","98.6800003051758","98.5899963378906","98.6900024414062","98.7200012207031","98.7900009155273","98.870002746582","98.7900009155273","98.7699966430664","98.879997253418","97.5959396362305","99.0299987792969","99.6493699244639","99.0599975585938","97.2861862182617","99.0299987792969","99.0752105712891","99.6822394118498",
"United States","USA","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.429466247559","104.510192871094","97.7526397705078","100.200538635254","101.863677978516","97.3387908935547","","",
"United States","USA","Trained teachers in preprimary education, male (% of male teachers)","SE.PRE.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","",
"United States","USA","School enrollment, preprimary (% gross)","SE.PRE.ENRR","","","","","","","","","","","","37.8958206176758","37.7494010925293","","42.8341407775879","","51.7631912231445","50.616569519043","48.3382186889648","48.2015495300293","48.5948905944824","52.4450492858887","52.711540222168","54.6056518554688","56.6238288879395","57.3140106201172","61.1959190368652","62.044189453125","61.6954307556152","60.4845008850098","60.959789276123","65.0517883300781","","","","69.5888900756836","71.1154403686523","","","","","","","","","70.5173263549805","","","","","","","","71.5239562988281","64.7829437255859","72.0273590087891","71.937370300293","72.93408203125","72.1459197998047","72.2141723632813","72.3956832885742","","","","",
"United States","USA","Female primary school age children out-of-school (%)","SE.LPV.PRIM.SD.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.48806762695312","","","","","4.48806762695312","","","","","4.48806762695312","","","","","4.48806762695312","","","","","4.48806762695312","","","",
"United States","USA","Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold","SE.LPV.PRIM.LD.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.78636169433593","","","","","2.88156366348266","","","","","1.88325047492981","","","","","3.21235656738281","","","","","4.71853637695312","","","",
"United States","USA","School enrollment, tertiary (gross), gender parity index (GPI)","SE.ENR.TERT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29685997962952","","","","","","","","1.27189004421234","1.26513004302978","1.26267004013062","1.25643002986908","1.26481997966766","1.26827001571655","1.27759003639221","1.29252004623413","1.32444000244141","1.31957995891571","","",
"United States","USA","Compulsory education, duration (years)","SE.COM.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12",
"United States","USA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
