"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Brazil","BRA","Population, total","SP.POP.TOTL","72388126","74605447","76865323","79164235","81488595","83817583","86139359","88446124","90741240","93045777","95375651","97739273","100146797","102600976","105089675","107619565","110213349","112875292","115600942","118380821","121207461","124063109","126923155","129790077","132658864","135515595","138336370","141104944","143826357","146502972","149143223","151724256","154275079","156794577","159265006","161735073","164202549","166661659","169159655","171641543","174018282","176301203","178503484","180622688","182675143","184688101","186653106","188552320","190367302","192079951","193701929","195284734","196876111","198478299","200085127","201675532","203218114","204703445","206107261","207455459","208660842","209550294","210306415","211140729","211998573",
"India","IND","Population, total","SP.POP.TOTL","435990338","446564729","457283090","468138575","479229598","490140146","500740247","511606372","522716889","533880544","545864268","558096387","570482142","583465598","597041391","611309535","625861883","640801103","655728229","671155747","687354025","703696250","720313473","737372681","754875449","772647793","790689978","808931270","827342990","846039529","864972221","883927600","902957070","922118387","941163767","960301044","979678458","999133762","1018665080","1038225823","1057922733","1077898575","1097600380","1116803006","1135991513","1154676322","1172878890","1190676021","1207930964","1225524753","1243481564","1261224954","1278674502","1295829511","1312277191","1328024498","1343944296","1359657400","1374659064","1389030312","1402617695","1414203896","1425423212","1438069596","1450935791",
"United States","USA","Population, total","SP.POP.TOTL","180671000","183691000","186538000","189242000","191889000","194303000","196560000","198712000","200706000","202677000","205052000","207661000","209896000","211909000","213854000","215973000","218035000","220239000","222585000","225055000","227225000","229466000","231664000","233792000","235825000","237924000","240133000","242289000","244499000","246819000","249623000","252981000","256514000","259919000","263126000","266278000","269394000","272657000","275854000","279040000","282162411","284968955","287625193","290107933","292805298","295516599","298379912","301231207","304093966","306771529","309378227","311839461","314339099","316726282","319257560","321815121","324353340","326608609","328529577","330226227","331577720","332099760","334017321","336806231","340110988",
